"title","subtitle","place","period","publisher","periodicity","language"
"A Rosa","jornal critico, litterario e recreativo","Rio de Janeiro, RJ","1883","Typ. Camoes","Mensal","por"
"Roteiro da Unificacao","","Nanuque, MG","1968-1969","[s.n.]","","por"
"Rua Nova","","Recife, PE","1925-1926","","Semanal","por"
"A Rua","","Fortaleza","1897-1898","Typ. Ceara","Semanal","por"
"A Rusga da Carioca ou A Briga entre o Conego Ignez, Lucas, Ripanso e o capitao dos muleques","","Rio de Janeiro, RJ","1835","Typ. Patriotica","Desconhecida","por"
"O Rusguentinho","","Rio de Janeiro, RJ","1833-","Typ. de I.F. Torres","Desconhecida","Texto em portugues"
"Cruzeiro","","São Luis, MA","1884","Typ. do Telegrapho","2 vezes por semana","por"
"As Obras de Santa Engracia","entremez para ser representado no theatrinho do Senhor Severo","Rio de Janeiro, RJ","1833-","Typ. Paraguassu, de D. da F. Pinto","","por"
"S. Francisco","mensageiro parochial de Pirapora","Pirapora, MG","1933","","Desconhecida",""
"O S. Joaneiro","folha noticiosa e commercial","Villa da Barra de S. João, [RJ]","1859","Typ. de A. Lobo Vianna","Semanal","Texto em português"
"S. Joao D'El-Rei","periodico consagrado aos interesses do Partido Liberal","São João del Rei, MG","1886","[s.n.]","","por"
"Sabatina Familiar de Amigos do Bem Commum","","Rio de Janeiro, RJ","1821-1822","Imprensa Nacional","","por"
"O Saca-riso","semanario humoristico","Fortaleza","1900","Typ. Universal","Semanal","por"
"O Sacerdote","folha mensal da obra das vocacoes sacerdotais","Sobral","1937-1944","[s.n.]","Desconhecida","por"
"Sal e Pimenta","periodico semanal, satyrico-humoristico","Rio de Janeiro, RJ","1899","[s.n.]","Semanal","por"
"O Salva-Vidas","periodico industrial, humanitario e recreativo","Rio de Janeiro, RJ","1883","[s.n.]","Desconhecida","por"
"Salve Rainha","preito e homenagem das congregações marianas de Florianopolis a sua especial senhora, advogada e mãe","Florianópolis, SC","1930","","","por"
"Salve! Frederico Rolla","","Florianópolis, SC","1918","[s.n.]","Desconhecida","por"
"Sangonçalense","","São Gonçalo do Pará, MG","1953","[s.n.]","Quinzenal","por"
"Santa Catharina","semanario noticioso e de propaganda","Florianópolis, SC","","","Desconhecida",""
"Santa Cruz : periodico poetico, critico e litterario","","Rio de Janeiro, RJ","1864","Typ. do Mercantil","","por"
"Santelmo","periodico politico, litterario e noticioso","Maceió, AL","1873","Typ. da Opiniao Conservadora","Indeterminada","por"
"O Santelmo","jornal litterario e noticioso","Cachoeira, BA","1880","Typ. do Futuro","Desconhecida","por"
"Santos Commercial","orgam republicano","Santos, SP","1895","[s.n.]","Semanal","por"
"Santos de Ontem","","Santos, SP","1952","","Indeterminada","por"
"São Francisco","litterario e recreativo","Propriá, SE","1889","","Desconhecida","por"
"São José","orgao commemorativo ao 7 de setembro de 1919","Säo José","1919","[s.n.]","Desconhecida","por"
"São Paulo e a escravidão","","Cachoeiro de Itapemirim, ES","1887","[s.n.]","","por"
"Sao Paulo Sportivo","","São Paulo, SP","1896","[s.n.]","","por"
"SAPS","boletim mensal do Servico de Alimentacao da Previdencia Social","Rio de Janeiro, RJ","1944","Imprensa Nacional","Desconhecida",""
"O Saturnino","","Rio de Janeiro, RJ","1833","Typ. Fluminense de Brito","Desconhecida","por"
"A Saudade","publicaçao litteraria e instructiva","Rio de Janeiro, RJ","","Typ. de F.A. de Almeida","Desconhecida","por"
"O Scenario","jornal litterario, scientifico e noticioso","Rio de Janeiro, RJ","1902","[s.n.]","Desconhecida","por"
"O Scenario","periodico do club familiar gymnazio da juventude","Rio de Janeiro, RJ","1881-","[s.n.]","Desconhecida","por"
"Scenas da escravidão","","Nictheroy [Niterói, RJ]","1881","[s.n.]","","por"
"Schutzenliesel","","Blumenau, SC","","[s.n.]","Indeterminada","por"
"Sciencia","jornal do enxadrista","Itajaí, SC","","","Desconhecida","por"
"Sciencia Medica","revista brasileira de medicina e sciencias affins","Rio de Janeiro, RJ","1923 - 1929","","Mensal","por"
"Sciencia para o Povo : seroes instructivos","","Rio de Janeiro, RJ","1881","Typ. Lombaerts","","por"
"Seculo","","Fortaleza","1883-","[s.n.]","Desconhecida","por"
"Seculo XIX","jornal noticioso, critico e litterario","Fortaleza, CE","1876","Typ. Tribuna Catholica","","por"
"O Século XIX","orgão da Associaçao Typographica Alagoana de Socorros Mutuos","Maceió, AL","1870-1871","Typ. do Conservador","Semanal","por"
"Seculo XX","neutro","Fortaleza, CE","1900","[s.n.]","Desconhecida","por"
"Seculo XX","revista de letras, artes e sciencias.","Rio de Janeiro, RJ","1905-1906","Companhia Typographica do Brazil","Mensal",""
"O Seculo","","Rio de Janeiro, RJ","1881","[s.n.]","3 vezes por semana","por"
"O Seculo","","Macaé, RJ","1886-","","Semanal","por"
"O Século","jornal politico, litterario e commercial","Bahia [Salvador, BA]","1848-","Typ. de J.C. de A. Daltro","Desconhecida","por"
"O Século","orgão do commercio, da lavoura e da industria","Maceió, AL","1877-1878","Typ. Mercantil","Diária","por"
"Segurahaky","jornal theatral","Rio de Janeiro, RJ","1915","","Semanal",""
"Seis de Outubro","orgaoda associacao dos funccionarios provinciaes de Pernambuco","Recife, PE","1883","Typ. Universal","2 vezes por semana","por"
"Selecta Catholica","jornal religioso","Mariana, MG","1846","[s.n.]","Quinzenal","por"
"Selecta Catholica","jornal religioso","Mariana, MG","1846-","Typ. Episcopal","Quinzenal","por"
"Selecta Catholica","jornal religioso","Rio de Janeiro, RJ","1836-","Typ. Imparcial de F. de P. Brito","Desconhecida","Texto em portugues"
"Semana","","Parnaiba, PI","1910-1911","","Desconhecida",""
"Semana Familiar : jornal poetico, litterario, noticioso, industrial, scientifico, critico, anedoctico, etc","","Rio de Janeiro, RJ","","","","por"
"Semana Illustrada","critica, litteraria e humoristica","Rio de Janeiro, RJ","1898-","Typ. Besnard Freres","Desconhecida","por"
"A Semana Illustrada","","Rio de Janeiro, RJ","1860-1876","Typ. de Pinheiro e Cia.","Desconhecida","por"
"Semana Religiosa","orgão católico","Pouso Alegre, MG","1963-1964","","Desconhecida",""
"Semana Religiosa","orgão official da Diocese de Pouso Alegre","Pouso Alegre, MG","1927-1964","","",""
"Semana Religiosa da Archidiocese da Bahia","","Bahia [Salvador, BA]","1878-1880","Lith-Typ. de J.G. Tourinho","Semanal","por"
"Semana Sportiva","","Rio de Janeiro, RJ","1899","Offic. de Obras do Jornal do Brasil","Semanal","por"
"Semana Theatral","hebdomadario illustrado","Rio de Janeiro, RJ","1896","","Semanal",""
"A Semana","orgam independente","Cuiabá, MT","1926-","[s.n.]","Desconhecida","por"
"A Semana","","Nictheroy [Niterói, RJ]","1921]-","[s.n","Desconhecida","por"
"A Semana","jornal hebdomadario","Maceió, AL","1884","Typ. da Gazeta de Noticias","Semanal","por"
"A Semana","pamphleto literario, sportivo e noticioso","Rio de Janeiro, RJ","1926","","Desconhecida","por"
"A Semana","Revista Literaria, Recreativa e Noticiosa","Bagé, RS","1914 a 1915","","Semanal","por"
"O Semanario Civico","","[S.l. : s.n.]","1821-1823","","Desconhecida","por"
"Semanario de Avisos y Conocimientos Utiles","","Assunção [Paraguai]","1853-","Imprenta de la Republica del Paraguay","","spa"
"Semanario de Avisos y Conocimientos Utiles","","Assunção [Paraguai]","1853-","Imprenta de la Republica del Paraguay","Semanal","por"
"Semanario de Saúde Pública","pela Sociedade de Medicina do Rio de Janeiro","Rio de Janeiro, RJ","1831-","Typ. Imperial, de E. Seignot-Plancher","Semanal","por"
"Semanario Maranhense","","São Luis, MA","1979","Edicoes SIOGE","","por"
"Semanario Mercantil","","Rio de Janeiro, RJ","1823-1824","Typ. de Silva Porto e Cia.","","por"
"Semanario Mercantil","","Rio de Janeiro, RJ","1823-","Typ. de Silva Porto e Cia.","Desconhecida","por"
"Semanario Official","","Goiás, GO","1894-","Typ. Perseverança","Semanal","por"
"Semanario Official","","Porto Alegre, RS","","Typ. do Analista","","por"
"Sensitiva : periodico litterario e noticioso","","Teresina, PI","1883-","Typ. do Telephone","2 vezes por mês","por"
"A Sensitiva","jornal litterario e recreativo consagrado ao bello sexo","Bananal, SP","1881","Typ. do Echo Bananalense","Semanal","por"
"Sentinela Maranhense na guarita do Para","","","1834","Typ. Federal dos Verdadeiros Liberaes","Desconhecida","por"
"A Sentinella da Instrucçao","jornal destinado a acompanhar os progressos da instrucçao primaria e secundaria no Brasil e a defender os interesses sa mocidade estudiosa","Rio de Janeiro, RJ","1875-1876","Typ. Economica","Semanal","por"
"Sentinella da Liberdade : na guarita do forte de S. Pedro na Bahia de Todos os Santos","","[S.l.]","1831","Typ. de J. Franco Lima","","por"
"Sentinella da Liberdade : orgao liberal","","Rio de Janeiro, RJ","1869-","Typ. e Lith. Esperanca","Semanal","por"
"Sentinella da Liberdade","","Porto Alegre, RS","","","","por"
"Sentinella da Liberdade","orgam democratico, noticioso, litterario e commercial","Cachoeira, BA","1870-1871","[s.n.]","2 vezes por mês","por"
"Sentinella da Liberdade","orgam democratico, noticioso, litterario e commercial","Cachoeira, BA","1870-1871","Typ. da Sentinella da Liberdade","2 vezes por mês","por"
"Sentinella da Liberdade na Guarita de Pernambuco","","Recife, PE","1823-1824","Typ. de Calv. e Companhia","2 vezes por semana","por"
"Sentinella da Liberdade na Guarita do Quartel General de Piraja","hoje na Guarita da Ilha das Cobras em o Rio de Janeiro","Rio de Janeiro, RJ","1831-1832","Typ. de Torres","Desconhecida","por"
"Sentinella da Liberdade no Rio de Janeiro","","Rio de Janeiro, RJ","1833-","Typ. de Gueffier","Desconhecida","por"
"Sentinella da Monarchia ","periodico politico e litterario","Rio de Janeiro, RJ","1840-1847","Typ. Americana de I.P. da Costa","2 vezes por semana","por"
"Sentinella da Monarchia","orgam conservador","São Paulo, SP","1889-","[s.n.]","Desconhecida","por"
"Sentinella do Serro","","Serro, MG","1927","[s.n.]","Desconhecida","por"
"Sentinella do Sul","","Itapemirim, ES","","","","por"
"La Sentinella","periodico dedicato agli interessi della colonia italiana, all'immigrazione ed al progresso del Brasile","Rio de Janeiro, RJ","","","Desconhecida","por"
"Senzala","revista mensal para o negro","São Paulo, SP","1946","","Mensal",""
"O Serão","","Rio de Janeiro, RJ","1900-","Empreza Democratica Editora","Mensal","por"
"Sergipe : jornal dedicado aos interesses da lavoura, commercio e melhoramentos geraes da provincia","","Aracaju, SE","1881-1882","Typ. do Diario de Sergipe","","por"
"Sergipe","jornal dedicado aos interesses da lavoura, commercio e melhoramentos","Aracaju, SE","1881-1882","Typ. do Diario de Sergipe","","por"
"Sergipe Agradecido : homenagem ao capitao Joaquim Alonso Moreira de Almeida","","Aracaju, SE","1886","Typ. do Jornal do Sergipe","Desconhecida",""
"Sermoes Evangelicos","","Rio de Janeiro, RJ","1879-","Typ. a vapor de D.M. Hazlett","Mensal","por"
"Serrana","","Serro, MG","1930","[s.n.]","Desconhecida","por"
"Sertanejo","litterario, critico e noticioso","Santa Ana","1888-","Typographia da Ordem","Bimensal","por"
"O Sertanejo","semanario dedicado aos interesses da comarca","Chapecó, SC","1921","","Desconhecida","por"
"Sesinho","revista infantil","Rio de Janeiro, RJ","1947-1960","","Mensal",""
"Sete de Julho","orgam do club Sete de Julho","Tubarão, SC","1901-1902","Typ. d'O Futuro","Desconhecida","por"
"Sete de Marco","orgao do Partido Conservador","Curitiba, PR","","Typ. Sete de Marco","Semanal","por"
"Sete de Marco","orgao do Partido Conservador","Curitiba, PR","1888-1889","Typ. Sete de Marco","Semanal","por"
"Sete de Setembro : orgao do Atheneu Provincial","","Vitória, ES","1878-1879","Typ. da Gazeta da Victoria","","por"
"Sete de Setembro","","Itajaí, SC","1915","Typ. Immanuel Cartix","Desconhecida","por"
"Sete de setembro","dedica-se aos interesses da lavoura e commercio","Tietê, SP","1877","Typ. Sete de Setembro","Desconhecida","por"
"Sete de Setembro","jornal politico, commercial, noticioso","Pilar, AL","1870-","Typ. do Sete de Setembro","Semanal","por"
"Sete de Setembro","jornal politico, commercial, noticioso","Pilar, AL","1876","Typ. do Sete de Setembro","Semanal","por"
"Sete de Setembro","orgam do Club Recreativo Sete de Setembro","Araranguá, SC","1906","[s.n.]","Desconhecida","por"
"Sete de setembro","polyanthea dos alumnos do Instituto Polytechnico","Florianópolis, SC","1922","[s.n.]","Desconhecida","por"
"O Sete de Setembro","independência e constituição, ou morte","Rio de Janeiro, RJ","1833-","Typ. Paraguassu, de D. da F. Pinto","Desconhecida","por"
"Sete Lagoas","periodico republicano","Sete Lagoas, MG","1897","[s.n.]","Semanal","por"
"SF","o Jornal de São Francisco","São Francisco, MG","1982","","Desconhecida","por"
"Shell em revista","","Rio de Janeiro, RJ","1967-[1976]","Shell Brasil S. A.","Trimestral","Texto em português"
"Shimmy","revista moderna","Rio de Janeiro, RJ","1925","","Desconhecida","por"
"Silva Jardim","","Recife, PE","1889","Typ. Apollo","Desconhecida","por"
"Silva Jardim","orgam scientifico liltterario e critico","Fortaleza","1891-","Typ. do Libertador","2 vezes por mês","por"
"O Simplicio da Roça","jornal dos domingos","Rio de Janeiro, RJ","1831-","Typ. Imperial e Constitucional, de E. Seignot-Plancher","Semanal","por"
"Sineta do Ceo","","Lages","","","Desconhecida","por"
"Sino azul ","","Rio de Janeiro, RJ","1928","","Mensal",""
"Sino da Basilica","orgão da Basilica de Nossa Senhora da Saude de Poços de Caldas","Poços de Caldas, MG","1949","","Desconhecida",""
"So... Rindo","semanario critico e humoristico","Florianópolis, SC","","","Desconhecida","por"
"Sociedade Brasileira de Orquidófilos","Boletim","Rio de Janeiro, RJ","1958 a 1961","","","por"
"Sociedade Central de Immigração ","","Rio de Janeiro, RJ","1883","","Desconhecida",""
"Sociedade de Cultura Artística Brasílio Itiberê","Relatório","Curitiba, PR","1949","","Anual","por"
"O Sol","orgam litterario e noticioso","Fortaleza","1898","[s.n.]","Semanal","por"
"O Sol","periodico de noticias nacionaes, e estrangeiras, de correspondencias, e annuncios, e tudo o mais que for a bem do Imperio do Brasil","Rio de Janeiro, RJ","1827-","Typ. de Torres","Desconhecida","por"
"O Sol","periodico noticioso, critico e litterario","Fortaleza","1883","Typ. do Sol","Desconhecida","por"
"O Soldado e o Marinheiro","jornal militar","Rio de Janeiro, RJ","1869","Typ. Dezesseis de Julho","Semanal","por"
"SOMOV","","Guaranésia, MG","","","Semanal","por"
"Sonntagsblatt","orgao evangelista germanico","Blumenau, SC","1898 a 1906","[s.n.]","Indeterminada","por"
"O Sorriso","jornal de modinhas, recitativos, lundus e poesias diversas","Rio de Janeiro, RJ","1872","Typ. de J.M. de Aguiar","Semanal","por"
"O Sorriso","jornal scientifico, litterario e creativo","Rio de Janeiro, RJ","1880-","Typ. Economica","Bissemanal","por"
"SPHAN pro-Memoria / Secretaria do Patrimonio Historico e Artistico Nacional","","Brasília, DF","1980-[1990?]","A Secretaria","Bimestral","por"
"Sport Illustrado","","Rio de Janeiro, RJ","","","","por"
"O Sport","orgao em prol do sport em Itajahy","Itajaí, SC","1919","[s.n.]","Desconhecida","por"
"Sports","","Rio de Janeiro, RJ","1915-","[s.n.]","Desconhecida","por"
"Estado do Maranhao","diario politico, litterario e noticioso","Maranhão [MA]","1891-","Typ. de Satyro Antonio de Faria","Desconhecida","por"
"Stella Maris","homenagem do comercio de Recife a Nossa Senhora da Penha","Recife, PE","1935 - 1936","","Indeterminada","por"
"Stellario","revista de arte","Curitiba, PR","1905","","","por"
"Estrella do Occidente : periodico semanal instructivo, critico e litterario","","Rio de Janeiro, RJ","1849-","Typ. Classica de F.A. de Almeida","Semanal","por"
"O Suburbano","","Rio de Janeiro, RJ","1940-1941","[s.n.]","Desconhecida","por"
"Sudarm - Glocken","","[S.l.]","1929-","[s.n.]","Indeterminada","por"
"Südarm - Glocken","","Santa Catarina","1929","","Indeterminada","ger"
"Sul","orgao do Partido Republicano","Joinville, SC","1890","Typ. Boehm","Desconhecida","por"
"Sul","revista do circulo de arte","Florianópolis, SC","1948","","Desconhecida",""
"Sul de Alagoas","orgam consagrado aos interesses sociaes","Penedo, AL","1896","Typ. Sul de Alagoas","Desconhecida","por"
"Sul de Minas","","Ouro fino, MG","1930","","Desconhecida",""
"O Sul","orgam republicano","Säo José","","","Desconhecida","por"
"Sul-Americano","","Florianópolis, SC","1899 a 1904","","Desconhecida","por"
"O Sulino","","Florianópolis, SC","1926","","Desconhecida","por"
"O Sulmineiro","diario illustrado","Pouso Alegre, MG","","","Desconhecida","por"
"Suplemento da Revista Automovel Club","","Rio de Janeiro, RJ","1975 a 1982","Automovel Club do Brasil","Desconhecida","por"
"Suplemento juvenil","","Rio de Janeiro, RJ","1934-[1945?]","Grande Consorcio Suplementos Nacionais","Trimestral","por"
"Supplemento ao Bahiano","","[S.l.]","1828-1831","Typ. Imperial e Nacional","Desconhecida","por"
"Supplemento ao Dissidente","","[S.l.]","1843","Typ. Imparcial Maranhense","Desconhecida","por"
"Supplemento Semanal Illustrado","","Rio de Janeiro, RJ","1934","","Desconhecida","por"
"O Symbolo","do apostolado litterario","Baturite, CE","1896","Typographia d'O Symbolo","Quinzenal","por"
"Synopsis Ecclesiastica : jornal religioso","","Belém, PA","1848-1849","Typ. de Santos e Filhos","Mensal","por"
"A Taca","","[S.l.]","1890","[s.n.]","Desconhecida","por"
"O Tacape","","Recife, PE","1928-1929","","Desconhecida",""
"Tafellieder","","Blumenau, SC","1956","[s.n.]","Indeterminada","por"
"Tagarela : semanário crítico, illustrado, humoristico e de propaganda commercial","","Rio de Janeiro, RJ","1902-1904","Typ. da Comp. Litho-Typographia Sapopemba","Semanal","por"
"Tagarella","orgao politico e noticioso","Rio de Janeiro, RJ","1880-1881","[s.n.]","Semanal","por"
"Tam-Tam","","Rio de Janeiro, RJ","1882-","[s.n.]","2 vezes por semana","por"
"Tapajoense","","Santarém, PA","1855-1857","","Desconhecida",""
"A Tarde","","Rio de Janeiro","1939","Empresa de Publicidade Moderna","Indeterminada","por"
"Teatro Ilustrado","","Rio de Janeiro, RJ","1959 a 1960","","Mensal","por"
"O Tebyrica","periodico litterario e recreativo","Rio de Janeiro, RJ","1862","Typ. de N. Lobo Vianna e Filhos","2 vezes por mês","por"
"Tejuassu","jornal noticioso e critico e joco-serio","Maranguape, CE","1875","Typ. Industrial","Semanal","por"
"O Telegrafo","","Oeiras","1839-1840","Typ. Provincial","2 vezes por semana","por"
"Telephone","","Fortaleza","","","Desconhecida","por"
"O Telescopio","jornal critico e litterario","Fortaleza","1882","[s.n.]","Semanal","por"
"O Templo","boletim ergonomico do Arkontado de Ar-Ba","S. Manoel do Paraiso [São Manuel, SP]","1908-","O. Octavio","Desconhecida","por"
"Tempo Todo","","Caxias do Sul, RS","2002 - 2009","","Semanal","por"
"O Tempo","","Rio de Janeiro, RJ","1888","Typ. do Tempo","Irregular","por"
"O Tempo","jornal popular e noticioso","Pedras Grandes","1921","","Desconhecida","por"
"O Tempo","orgam do Partido republicano Catharinense","Florianópolis, SC","1925","","Desconhecida","por"
"O Tempo","orgão do Partido Conservador","São Luis, MA","1878-1881","Tyo. do Paiz","Semanal","por"
"O Tempo","periodico independente e noticioso","Itajaí, SC","1933","","Desconhecida","por"
"O Tempo","publicação hebdomadaria scientifica, litteraria e noticiosa","Rio de Janeiro, RJ","1887- ","[s.n.]","","por"
"Tenentes do Diabo","","Belo Horizonte, MG","1916","","Desconhecida",""
"Tentamen ","orgão imparcial","Serro, MG","1890","Typ. de Ignacio de Loyola","Semanal","por"
"Tentamen","jornal scientifico, litterario e critico","Fortaleza, CE","1891","Typ. do Libertador","Quinzenal","por"
"Tentamen","Orgam Literario","Nictheroy [Niterói, RJ]","","","Desconhecida","por"
"O Tentamen","orgao do Gremio Tautphoeus","Rio de Janeiro, RJ","1883","Typ. de Machado","Quinzenal","por"
"Terra Bemdita","","Florianópolis, SC","","","Desconhecida","por"
"Terra Catharinense","","Florianópolis, SC","1919","[s.n.]","Desconhecida","por"
"A Terra da Redempçao","orgao dos cearenses abolicionistas","Rio de Janeiro, RJ","1883-1885","Typ. Perseverança","Desconhecida","por"
"Terra do Ouro","","Nova Lima, MG","1959","","Desconhecida",""
"Terra Ideal","","Santa Catarina","1923","","Indeterminada","por"
"Terra Livre","a terra para os que nela trabalham","São Paulo, SP","1954-1964","[s.n.]","","por"
"Terra Livre","orgao dos interesses do povo catharinense","Florianópolis, SC","1918-1919","[s.n.]","Desconhecida","por"
"Terra Livre","orgao independente e noticioso","Porto Uniao","1931","[s.n.]","Desconhecida","por"
"Terra roxa e outras terras","","São Paulo, SP","1977","Livraria Martins ed.","Desconhecida","por"
"Terra Tijuquense","","Tijucas, SC","","","Desconhecida","por"
"Tesourao","jornal critico, humoristico e noticioso","Florianópolis, SC","","","Desconhecida","por"
"Teutonia Faschingsnummer","","Blumenau, SC","1904","","Indeterminada","ger"
"Teutonia Faschingsnummer","","Blumenau, SC","1904-","[s.n.]","Indeterminada","por"
"The American Mail","","Rio de Janeiro, RJ","1873-","[s.n.]","","eng"
"The Brazilian Review","","","","","","eng"
"The Brazilian World","","Laguna, SC","1893","[s.n.]","Desconhecida","por"
"The Rio Herald","","Rio de Janeiro, RJ","1828-","P. Plancher Seignot","Semanal","eng"
"The Rio Mercantile Journal","","Rio de Janeiro, RJ","","Typ. J. Cremiere","Semanal","eng"
"The Rio news","","Rio de Janeiro, RJ","1874-","[s.n.]","","eng"
"O Theatrinho do Senhor Severo","","Rio de Janeiro, RJ","1833","Typ. de Torres","Desconhecida","por"
"O Theatro","jornal das novidades","Fortaleza","1899","Typ. Minerva","Desconhecida","por"
"Themis Mattogrossense","","Cuiabá, MT","1890","Typ. do Livro do Povo","Semanal","por"
"Theophilo Ottoni","semanario liberal da cidade do Paraiso, Minas Gerais","Typ. Liberal","1878","","Semanal",""
"Thesoura","folha semanal","Desterro [Florianópolis, SC]","","","Desconhecida","por"
"Thesoura","jornal critico e litterario","Fortaleza, CE","1879-","[s.n.]","","por"
"A Thesoura","orgão critico e litterario","[S.l.]","1888","Typ. da União","2 vezes por mês","por"
"A Thesoura","periodico critico e chistoso","[S.l.]","1885","[s.n.]","Desconhecida","por"
"O Tiçao","orgao critico e noticioso","Florianópolis, SC","","","Desconhecida","por"
"O Til","jornal litterario e noticioso","Desterro [Florianópolis, SC]","1875","Typ. Conservadora","Desconhecida","por"
"Timandro Junior, ou O Modelo dos Velhacos","","Rio de Janeiro, RJ","1849-","Typ. Brasiliense","Desconhecida","por"
"O Timoneiro do Norte","orgam do directorio politico local","Canoinhas, SC","1917","[s.n.]","Desconhecida","por"
"Tiradentes","commemoração anual","Rio de Janeiro, RJ","1882 - 1894","Typ. Leuzinger e Filhos","Anual","por"
"Tiradentes","","Uberaba, MG","1881-","Typ. do Correio Uberabense","Semanal","por"
"Tiradentes","homenagem ao primeiro martyr da liberdade brasileira...","Ouro Preto, MG","1888","Typ. do Liberal Mineiro","Desconhecida","por"
"Titulos de Alforria","","Campos dos Goytacazes, RJ","1887","[s.n.]","","por"
"Tom-Pouce","semanario dependente da lei da imprensa e do ""cobre"" dos leitores","Itajaí, SC","1928","","Desconhecida","por"
"Torniquete","","Rio de Janeiro, RJ","1878","Typ. Torniquete","","por"
"Torpedo","jornal critico e litterario","Baturite, CE","1882-","[s.n.]","Desconhecida","por"
"A Torre de Babel","","Rio de Janeiro, RJ","1833-","[s.n.]","Desconhecida","por"
"Trabalho","periodico noticioso e comercial","Laguna, SC","1883-","[s.n.]","Desconhecida","por"
"Trabalho e Direito","","Rio de Janeiro, RJ","1891-","Typ. Sociedade Franzini","Semanal","por"
"O Trabalho","periodico liberal, noticioso e commercial","Laguna, SC","1881","[s.n.]","Desconhecida","por"
"O Trabalho","","[S.l.]","1892","[s.n.]","Desconhecida","por"
"O Trabalho","folha liberal","Laguna, SC","1888","","Desconhecida","por"
"O Trabalho","orgao das classes trabalhadoras","Florianópolis, SC","1932","","Desconhecida","por"
"O Trabalho","orgao do commercio, da lavoura, dos interesses sociaes","Pão d'Assucar [Pão de Açúcar, AL]","1882-1898","Typ. do Trabalho","Desconhecida","por"
"O Trabalho","orgao do commercio, da lavoura, dos interesses sociaes","Pão d'Assucar [Pão de Açúcar, AL]","1882-","Typ. do Trabalho","Desconhecida","por"
"O Trabalho","orgao do Partido Republicano Catharinense","Coritybanos [Curitibanos, SC]","1907 a 1912","","Desconhecida","por"
"O Trabalho","periodico da Sociedade Reuniao dos Expositores da Industria Brasileira","Rio de Janeiro, RJ","1870-1873","Typ. Universal de Laemmert","Quinzenal","por"
"O Trabalho","propriedade de uma associação","Rio de Janeiro, RJ","1881","Typ. Litteraria","Diária","por"
"O Trabuco","orgam do zé-povão","Fortaleza","1900","Typ. Apollo","Desconhecida","por"
"Transformação do trabalho","","Campos dos Goytacazes, RJ","1888","[s.n.]","","por"
"Transparência :","O Jornal de Divulgação e Opinião da UNC de Canoinhas/Porto União.","Canoinhas, SC","2003","A Notícia","Indeterminada","por"
"Travel in Brazil","","Rio de Janeiro","1941 a 1942","The Press and Propaganda","Desconhecida","por"
"Tres de Maio","","Rio de Janeiro, RJ","","","","por"
"Treze de Maio","","Belém, PA","1840-1862","Typ. de Santos e Filhos","","por"
"Treze de Maio","","Paranaguá, PR","1888","[s.n.]","Semanal","por"
"Treze de Maio","jornal commemorativo da abolição","Rio de Janeiro, RJ","1888","H. Lombaerts e C.","Desconhecida","por"
"Treze de maio","orgão moral, litterario e chistoso","Bahia [Salvador, BA]","1888","[s.n.]","Desconhecida","por"
"Treze de Maio","revista literaria, scientifica e artistica","Rio de Janeiro, RJ","1888-","Typ. Chrysalida","Mensal","por"
"O Triângulo","","Araguary [Araguari, MG]","","","Desconhecida","por"
"Tribuna : diario da tarde","","Corumbá, MS","","","","por"
"Tribuna : diario da tarde","","Corumbá, MS","","","","por"
"Tribuna","periodico popular","Bahia [Salvador, BA]","1877-1879","Typ. Popular da Tribuna","Desconhecida","por"
"Tribuna Academica","","Rio de Janeiro, RJ","1884","Typ. a vapor de Andrade Silva","","por"
"Tribuna Academica","Periodico scientifico e litterario","Rio de Janeiro, RJ","1864-","[s.n.]","Quinzenal","por"
"Tribuna Amparense","","Amparo, SP","1872","[s.n.]","2 vezes por semana","por"
"Tribuna Artistica : periodico semanal escripto e redigido por artistas","","Rio de Janeiro, RJ","1871","Typ. Academica","Semanal","por"
"Tribuna Catholica","jornal religioso, litterario e noticioso","Fortaleza","","","Desconhecida","por"
"Tribuna Catholica","orgão político do partido catholico","Fortaleza","","","Desconhecida","por"
"Tribuna da imprensa","","Rio de Janeiro, RJ","1949-2009","Editora Tribuna da Imprensa","Diária","Em português"
"Tribuna da Mata","","Cataguases, MG","1967-1968","","Desconhecida",""
"Tribuna de Conquista","","Sacramento, MG","1979","","Desconhecida",""
"Tribuna de Frutal","","Frutal, MG","1944","","Desconhecida",""
"Tribuna de Lavras ","isençao, liberdade, justiça","Lavras, MG","1969-1982","","Desconhecida",""
"Tribuna de Lavras","isençao, liberdade, justiça","Lavras","1969-1982","[s.n.]","Desconhecida","por"
"Tribuna de Lavras","","Lavras, MG","1972","","Desconhecida",""
"Tribuna de Lavras","isençao, liberdade, justiça","Lavras","1969-1982","[s.n.]","Desconhecida","por"
"Tribuna de Minas.","","Belo Horizonte, MG","1952-1954","","Desconhecida",""
"Tribuna de Ouro Preto","","Ouro Preto, MG","","","","por"
"Tribuna de Ouro Preto","","Ouro Preto, MG","1924","","Desconhecida",""
"Tribuna de Ouro Preto","orgão oficioso da municipalidade","Ouro Preto, MG","1979","","",""
"Tribuna de Parintins","","Parintins, AM","1981","","Desconhecida",""
"Tribuna de Patos","jornal independente","Patos de Minas, MG","1953","[s.n.]","","por"
"Tribuna de Sao Carlos","periodico dedicado a lavoura e ao commercio","São Carlos do Pinhal [São Carlos, SP]","1876-1880","Typ. da Tribuna de S.Carlos","Semanal","por"
